Teacher_ID,Region,Age,Years_Experience,Educational_Attainment,Major_Specialization,Subject_Taught,Certification_Level,Fragility_Indicator
2026-STAR-0000,Region VIII,36,1,Master of Arts in Ed,Physics,Physics,Level 1,Low
2026-STAR-0001,Region VII,39,28,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0002,Region III,47,7,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0003,Region III,48,13,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0004,Region VII,32,29,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0005,Region III,36,32,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0006,Region III,47,19,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0007,Region IV-A,55,23,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0008,Region VIII,30,5,Master of Arts in Ed,Chemistry,Mathematics,Level 1,High
2026-STAR-0009,Region I,54,16,Bachelor of Secondary Education,Chemistry,Physics,Level 1,High
2026-STAR-0010,Region VIII,30,10,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0011,NCR,42,24,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0012,Region I,32,7,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0013,Region III,54,5,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0014,NCR,51,29,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0015,NCR,37,10,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0016,Region VIII,29,9,PhD STEM,Mathematics,General Science,Level 1,High
2026-STAR-0017,NCR,49,20,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0018,Region IV-A,43,18,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0019,Region I,46,31,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0020,NCR,39,19,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0021,Region VII,25,13,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0022,NCR,45,21,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0023,Region VIII,43,9,Bachelor of Secondary Education,Mathematics,General Science,Level 1,High
2026-STAR-0024,Region III,36,17,Bachelor of Secondary Education,General Science,Physics,Level 1,High
2026-STAR-0025,BARMM,37,10,BS Science,Physics,Mathematics,Level 1,High
2026-STAR-0026,Region VII,44,8,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0027,Region I,30,17,Bachelor of Secondary Education,Mathematics,Chemistry,Level 1,High
2026-STAR-0028,NCR,47,17,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0029,Region VII,55,23,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0030,BARMM,24,4,PhD STEM,General Science,General Science,Level 1,Low
2026-STAR-0031,BARMM,22,4,PhD STEM,Physics,General Science,Level 1,High
2026-STAR-0032,Region I,56,10,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0033,Region IV-A,48,32,Bachelor of Secondary Education,Chemistry,Biology,Level 1,High
2026-STAR-0034,Region VIII,30,5,BS Science,Physics,Biology,Level 1,High
2026-STAR-0035,NCR,50,30,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0036,Region VIII,22,7,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0037,NCR,27,33,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0038,Region VII,33,14,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0039,Region IV-A,33,22,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0040,Region VIII,42,4,PhD STEM,General Science,Chemistry,Level 1,High
2026-STAR-0041,NCR,30,26,Master of Arts in Ed,General Science,Physics,Level 1,High
2026-STAR-0042,BARMM,22,6,BS Science,General Science,Mathematics,Level 1,High
2026-STAR-0043,Region IV-A,25,9,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0044,BARMM,38,7,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0045,NCR,32,5,BS Science,Biology,General Science,Level 1,High
2026-STAR-0046,NCR,36,15,Bachelor of Secondary Education,Mathematics,Chemistry,Level 1,High
2026-STAR-0047,Region I,59,22,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0048,Region VII,30,12,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0049,Region VIII,35,10,Bachelor of Secondary Education,Biology,Mathematics,Level 1,High
2026-STAR-0050,Region IV-A,28,6,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0051,BARMM,38,7,PhD STEM,Chemistry,Physics,Level 1,High
2026-STAR-0052,Region III,43,6,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0053,Region I,33,7,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0054,Region VIII,33,6,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0055,NCR,44,18,Bachelor of Secondary Education,General Science,Mathematics,Level 1,High
2026-STAR-0056,NCR,36,5,BS Science,Physics,Mathematics,Level 1,High
2026-STAR-0057,BARMM,28,3,PhD STEM,General Science,Mathematics,Level 1,High
2026-STAR-0058,NCR,33,24,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0059,Region I,31,9,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0060,BARMM,40,5,PhD STEM,Chemistry,Biology,Level 1,High
2026-STAR-0061,Region IV-A,33,28,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0062,Region VII,29,16,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0063,Region III,37,23,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0064,BARMM,37,4,Master of Arts in Ed,Chemistry,Mathematics,Level 1,High
2026-STAR-0065,NCR,39,15,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0066,Region VII,30,14,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0067,Region IV-A,49,30,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0068,NCR,25,5,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0069,Region IV-A,51,33,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0070,Region VIII,33,10,BS Science,Physics,Chemistry,Level 1,High
2026-STAR-0071,Region IV-A,56,21,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0072,Region VII,30,34,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0073,Region III,29,33,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0074,Region VII,51,12,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0075,Region I,57,14,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0076,Region VII,31,28,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0077,Region I,40,28,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0078,Region IV-A,39,15,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0079,Region VIII,43,11,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0080,Region VII,52,24,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0081,Region IV-A,56,11,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0082,Region VIII,31,3,BS Science,General Science,Biology,Level 1,High
2026-STAR-0083,Region I,31,15,Bachelor of Secondary Education,General Science,Mathematics,Level 1,High
2026-STAR-0084,Region III,59,14,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0085,Region VIII,43,10,PhD STEM,Biology,Physics,Level 1,High
2026-STAR-0086,Region IV-A,28,14,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0087,NCR,59,24,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0088,NCR,36,32,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0089,Region III,43,29,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0090,Region III,58,16,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0091,Region VII,46,22,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0092,Region III,35,8,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0093,NCR,30,16,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0094,Region VII,37,8,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0095,Region I,31,33,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0096,Region I,54,19,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0097,NCR,43,29,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0098,Region III,40,33,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0099,Region III,52,31,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0100,BARMM,33,11,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0101,Region IV-A,44,31,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0102,Region I,29,20,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0103,Region III,29,23,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0104,BARMM,44,1,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0105,BARMM,34,10,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0106,Region VII,40,19,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0107,NCR,46,31,BS Science,Physics,Chemistry,Level 1,High
2026-STAR-0108,Region III,55,14,BS Science,Biology,Physics,Level 1,High
2026-STAR-0109,NCR,44,14,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0110,Region VII,49,32,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0111,Region III,32,10,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0112,NCR,32,26,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0113,NCR,35,31,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0114,NCR,45,13,PhD STEM,Chemistry,General Science,Level 1,High
2026-STAR-0115,Region IV-A,28,15,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0116,Region I,59,27,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0117,BARMM,37,8,BS Science,Biology,Chemistry,Level 1,High
2026-STAR-0118,Region III,46,9,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0119,NCR,40,10,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0120,Region III,27,13,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
