Teacher_ID,Region,Age,Years_Experience,Educational_Attainment,Major_Specialization,Subject_Taught,Certification_Level,Fragility_Indicator
2026-STAR-0000,BARMM,22,1,Bachelor of Secondary Education,Physics,Mathematics,Level 1,High
2026-STAR-0001,Region III,26,25,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0002,Region I,52,11,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0003,Region VII,35,10,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0004,Region IV-A,51,18,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0005,Region III,51,10,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0006,Region VII,39,16,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0007,Region III,43,8,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0008,Region IV-A,41,34,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0009,BARMM,28,2,Bachelor of Secondary Education,Biology,General Science,Level 1,High
2026-STAR-0010,Region IV-A,49,15,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0011,Region I,30,8,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0012,Region III,56,17,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0013,NCR,32,18,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0014,Region I,26,7,BS Science,Biology,Chemistry,Level 1,High
2026-STAR-0015,Region III,57,29,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0016,Region I,44,29,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0017,Region VII,47,32,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0018,Region IV-A,51,16,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0019,Region I,53,18,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0020,Region IV-A,48,27,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0021,BARMM,38,3,Bachelor of Secondary Education,Chemistry,Biology,Level 1,High
2026-STAR-0022,Region III,55,9,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0023,BARMM,32,6,BS Science,Chemistry,Biology,Level 1,High
2026-STAR-0024,Region III,56,5,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0025,NCR,55,19,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0026,Region VII,25,9,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0027,Region VIII,39,11,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0028,Region VIII,38,4,PhD STEM,Mathematics,Mathematics,Level 1,Low
2026-STAR-0029,Region VIII,39,9,PhD STEM,Chemistry,General Science,Level 1,High
2026-STAR-0030,Region IV-A,43,25,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0031,Region IV-A,28,20,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0032,Region III,43,11,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0033,Region I,48,5,BS Science,Mathematics,Chemistry,Level 1,High
2026-STAR-0034,Region I,35,7,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0035,Region VIII,33,11,PhD STEM,Biology,Mathematics,Level 1,High
2026-STAR-0036,Region III,57,23,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0037,Region IV-A,49,5,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0038,Region I,32,18,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0039,Region III,31,28,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0040,Region I,50,27,BS Science,General Science,Mathematics,Level 1,High
2026-STAR-0041,Region VIII,33,7,Master of Arts in Ed,Mathematics,Biology,Level 1,High
2026-STAR-0042,BARMM,28,5,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0043,Region I,37,13,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0044,BARMM,33,10,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0045,Region III,42,5,PhD STEM,Physics,General Science,Level 1,High
2026-STAR-0046,Region IV-A,48,10,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0047,Region III,52,17,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0048,Region VIII,41,1,Master of Arts in Ed,Mathematics,Chemistry,Level 1,High
2026-STAR-0049,Region VIII,37,7,BS Science,General Science,Mathematics,Level 1,High
2026-STAR-0050,Region I,28,23,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0051,Region III,47,33,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0052,Region I,29,16,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0053,NCR,44,9,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0054,NCR,58,17,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0055,Region I,29,19,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0056,Region III,45,30,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0057,BARMM,41,5,BS Science,Physics,Biology,Level 1,High
2026-STAR-0058,Region VIII,41,10,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0059,Region I,58,19,Bachelor of Secondary Education,General Science,Mathematics,Level 1,High
2026-STAR-0060,Region VII,29,33,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0061,BARMM,43,9,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0062,Region III,43,19,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0063,Region VII,55,30,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0064,Region III,26,26,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0065,BARMM,29,11,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0066,Region IV-A,41,17,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0067,Region VII,25,32,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0068,Region III,37,18,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0069,Region VIII,26,7,PhD STEM,Physics,Chemistry,Level 1,High
2026-STAR-0070,NCR,51,12,Bachelor of Secondary Education,Chemistry,General Science,Level 1,High
2026-STAR-0071,Region VII,47,15,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0072,Region VIII,30,7,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0073,Region IV-A,57,11,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0074,Region I,44,21,PhD STEM,Mathematics,Mathematics,Level 3,Low
