Teacher_ID,Region,Age,Years_Experience,Educational_Attainment,Major_Specialization,Subject_Taught,Certification_Level,Fragility_Indicator
2026-STAR-0000,BARMM,24,3,BS Science,Chemistry,Chemistry,Level 1,Low
2026-STAR-0001,Region VIII,39,11,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0002,Region III,25,29,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0003,NCR,57,19,Bachelor of Secondary Education,Mathematics,Biology,Level 1,High
2026-STAR-0004,Region III,39,21,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0005,Region IV-A,53,16,BS Science,Physics,Chemistry,Level 1,High
2026-STAR-0006,Region IV-A,28,11,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0007,Region VII,35,30,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0008,Region I,43,33,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0009,Region VIII,44,11,BS Science,Physics,Mathematics,Level 1,High
2026-STAR-0010,BARMM,44,2,Bachelor of Secondary Education,Mathematics,Chemistry,Level 1,High
2026-STAR-0011,NCR,28,21,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0012,NCR,56,27,BS Science,Biology,Physics,Level 1,High
2026-STAR-0013,Region VIII,39,8,BS Science,Physics,General Science,Level 1,High
2026-STAR-0014,NCR,35,27,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0015,NCR,46,13,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0016,BARMM,29,3,BS Science,Chemistry,Chemistry,Level 1,Low
2026-STAR-0017,NCR,46,9,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0018,Region III,31,13,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0019,BARMM,44,8,Bachelor of Secondary Education,Biology,Mathematics,Level 1,High
2026-STAR-0020,Region VIII,33,7,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0021,Region IV-A,28,17,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0022,Region III,37,15,Bachelor of Secondary Education,Physics,Biology,Level 1,High
2026-STAR-0023,Region III,43,31,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0024,Region III,29,32,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0025,Region I,55,17,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0026,Region VII,47,6,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0027,Region I,25,30,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0028,Region VII,27,31,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0029,Region VII,28,5,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0030,BARMM,30,10,Bachelor of Secondary Education,Mathematics,Biology,Level 1,High
2026-STAR-0031,Region III,43,7,BS Science,General Science,Mathematics,Level 1,High
2026-STAR-0032,Region IV-A,44,19,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0033,BARMM,43,2,Bachelor of Secondary Education,General Science,Physics,Level 1,High
2026-STAR-0034,Region VIII,27,9,BS Science,General Science,Chemistry,Level 1,High
2026-STAR-0035,Region IV-A,32,5,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0036,Region I,53,5,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0037,Region VII,39,30,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0038,Region III,36,21,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0039,Region IV-A,30,25,Master of Arts in Ed,Biology,Physics,Level 1,High
2026-STAR-0040,NCR,50,9,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0041,Region IV-A,53,23,PhD STEM,General Science,Mathematics,Level 1,High
2026-STAR-0042,Region VII,36,30,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0043,Region VIII,36,11,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0044,BARMM,41,5,PhD STEM,Mathematics,Chemistry,Level 1,High
2026-STAR-0045,Region III,43,5,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0046,Region VIII,44,3,Master of Arts in Ed,General Science,Chemistry,Level 1,High
2026-STAR-0047,Region I,49,20,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0048,Region I,54,8,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0049,Region VII,27,27,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0050,Region III,28,13,BS Science,Biology,General Science,Level 1,High
2026-STAR-0051,Region I,49,25,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0052,Region VIII,35,4,BS Science,General Science,General Science,Level 1,Low
2026-STAR-0053,Region VII,39,14,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0054,NCR,48,14,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0055,Region IV-A,49,30,Bachelor of Secondary Education,Chemistry,General Science,Level 1,High
2026-STAR-0056,BARMM,37,3,Bachelor of Secondary Education,General Science,Chemistry,Level 1,High
2026-STAR-0057,NCR,39,16,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0058,Region VIII,23,3,PhD STEM,Mathematics,Chemistry,Level 1,High
2026-STAR-0059,BARMM,39,3,Bachelor of Secondary Education,Mathematics,General Science,Level 1,High
2026-STAR-0060,Region I,26,11,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0061,Region VII,49,6,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0062,Region VII,36,34,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0063,Region III,33,23,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0064,Region III,35,24,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0065,Region IV-A,41,27,Master of Arts in Ed,Biology,General Science,Level 1,High
2026-STAR-0066,Region VII,32,23,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0067,Region I,44,18,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0068,Region IV-A,56,6,BS Science,Mathematics,Mathematics,Level 2,Low
